,Token,Reading,Dict. form,POS,Line,Song ID,Pitch accent
1520,女ひとり,オンナヒトリ,女ひとり,"('名詞', '固有名詞', '一般', '*', '*', '*')",15,20,
1814,嬉しさ,ウレシサ,嬉しさ,"('名詞', '普通名詞', '一般', '*', '*', '*')",6,23,
2134,寝乱れ,ネミダレ,寝乱れる,"('動詞', '一般', '*', '*', '下一段-ラ行', '連用形-一般')",5,26,
701,小樽,オタル,小樽,"('名詞', '固有名詞', '地名', '一般', '*', '*')",12,15,
983,岩木山,イワキサン,岩木山,"('名詞', '固有名詞', '一般', '*', '*', '*')",14,17,
896,岩木山,イワキサン,岩木山,"('名詞', '固有名詞', '一般', '*', '*', '*')",2,17,
2540,微笑み返す,ホホエミカエス,微笑み返す,"('動詞', '一般', '*', '*', '五段-サ行', '終止形-一般')",5,29,
124,悲し,カナシ,悲し,"('形容詞', '一般', '*', '*', '文語形容詞-シク', '終止形-一般')",1,10,
1600,拭い,ヌグイ,拭い,"('名詞', '普通名詞', '一般', '*', '*', '*')",1,21,
3481,月のしずく,ツキノシズク,月のしずく,"('名詞', '固有名詞', '一般', '*', '*', '*')",12,9,
3124,木橋,モッキョウ,木橋,"('名詞', '普通名詞', '一般', '*', '*', '*')",6,6,
805,松島,マツシマ,松島,"('名詞', '固有名詞', '地名', '一般', '*', '*')",13,16,
1740,柴又,シバマタ,柴又,"('名詞', '固有名詞', '地名', '一般', '*', '*')",9,22,
363,歌いだす,ウタイダス,歌いだす,"('動詞', '一般', '*', '*', '五段-サ行', '終止形-一般')",8,12,
452,歌いだす,ウタイダス,歌いだす,"('動詞', '一般', '*', '*', '五段-サ行', '終止形-一般')",23,12,
430,歌いだす,ウタイダス,歌いだす,"('動詞', '一般', '*', '*', '五段-サ行', '終止形-一般')",19,12,
2455,沖の瀬,オキノセ,沖の瀬,"('名詞', '固有名詞', '地名', '一般', '*', '*')",9,28,
988,津軽,ツガル,津軽,"('名詞', '固有名詞', '地名', '一般', '*', '*')",15,17,
668,津軽,ツガル,津軽,"('名詞', '固有名詞', '地名', '一般', '*', '*')",6,15,
3383,津軽海峡,ツガルカイキョウ,津軽海峡,"('名詞', '固有名詞', '一般', '*', '*', '*')",15,8,
3404,津軽海峡,ツガルカイキョウ,津軽海峡,"('名詞', '固有名詞', '一般', '*', '*', '*')",18,8,
3330,津軽海峡,ツガルカイキョウ,津軽海峡,"('名詞', '固有名詞', '一般', '*', '*', '*')",7,8,
2139,浄蓮の滝,ジョウレンノタキ,浄蓮の滝,"('名詞', '固有名詞', '地名', '一般', '*', '*')",6,26,
2311,無錫,ムシャク,無錫,"('名詞', '固有名詞', '地名', '一般', '*', '*')",6,27,
1640,燃えたっ,モエタッ,燃えたつ,"('動詞', '一般', '*', '*', '五段-タ行', '連用形-促音便')",8,21,
1642,燃えたっ,モエタッ,燃えたつ,"('動詞', '一般', '*', '*', '五段-タ行', '連用形-促音便')",8,21,
735,留萌,ルモイ,留萌,"('名詞', '固有名詞', '地名', '一般', '*', '*')",18,15,
808,白河,シラカワ,白河,"('名詞', '固有名詞', '地名', '一般', '*', '*')",13,16,
1763,矢切の渡し,ヤギリノワタシ,矢切の渡し,"('名詞', '固有名詞', '一般', '*', '*', '*')",13,22,
1737,矢切の渡し,ヤギリノワタシ,矢切の渡し,"('名詞', '固有名詞', '一般', '*', '*', '*')",8,22,
1708,矢切の渡し,ヤギリノワタシ,矢切の渡し,"('名詞', '固有名詞', '一般', '*', '*', '*')",3,22,
54,笠戸丸,カサトマル,笠戸丸,"('名詞', '固有名詞', '一般', '*', '*', '*')",9,1,
3274,肩寄せ,カタヨセ,肩寄せ,"('名詞', '普通名詞', '一般', '*', '*', '*')",11,7,
2140,舞い上がり,マイアガリ,舞い上がり,"('名詞', '普通名詞', '一般', '*', '*', '*')",7,26,
937,花かげ,ハナカゲ,花かげ,"('名詞', '普通名詞', '一般', '*', '*', '*')",7,17,
703,苫小牧,トマコマイ,苫小牧,"('名詞', '固有名詞', '地名', '一般', '*', '*')",12,15,
1006,茜空,アカネゾラ,茜空,"('名詞', '普通名詞', '一般', '*', '*', '*')",17,17,
2303,蘇州,ソシュウ,蘇州,"('名詞', '固有名詞', '地名', '一般', '*', '*')",5,27,
2234,走り水,ハシリミズ,走り水,"('名詞', '普通名詞', '一般', '*', '*', '*')",23,26,
2591,越後,エチゴ,越後,"('名詞', '固有名詞', '人名', '姓', '*', '*')",13,29,
2587,越後,エチゴ,越後,"('名詞', '固有名詞', '人名', '姓', '*', '*')",13,29,
2547,越後,エチゴ,越後,"('名詞', '固有名詞', '人名', '姓', '*', '*')",6,29,
2633,越後,エチゴ,越後,"('名詞', '固有名詞', '人名', '姓', '*', '*')",20,29,
2629,越後,エチゴ,越後,"('名詞', '固有名詞', '人名', '姓', '*', '*')",20,29,
2543,越後,エチゴ,越後,"('名詞', '固有名詞', '人名', '姓', '*', '*')",6,29,
721,通い妻,カヨイヅマ,通い妻,"('名詞', '普通名詞', '一般', '*', '*', '*')",15,15,
1544,酔え,ヨエ,酔える,"('動詞', '一般', '*', '*', '下一段-ア行', '連用形-一般')",18,20,
1874,長良川,ナガラガワ,長良川,"('名詞', '固有名詞', '一般', '*', '*', '*')",15,23,
2136,隠れ宿,カクレヤド,隠れ宿,"('名詞', '普通名詞', '一般', '*', '*', '*')",5,26,
652,雪が降る,ユキガフル,雪が降る,"('名詞', '固有名詞', '一般', '*', '*', '*')",2,15,
3289,青森駅,アオモリエキ,青森駅,"('名詞', '固有名詞', '一般', '*', '*', '*')",2,8,
1132,髮,髮,髮,"('名詞', '普通名詞', '一般', '*', '*', '*')",1,19,
