,Token,Reading,Dict. form,POS,Line,Song ID,Pitch accent
254,酒,サケ,酒,"('名詞', '普通名詞', '一般', '*', '*', '*')",5,11,1
255,に,ニ,に,"('助詞', '格助詞', '*', '*', '*', '*')",5,11,0
256,酔う,ヨウ,酔う,"('動詞', '一般', '*', '*', '五段-ワア行', '終止形-一般')",5,11,1
257,ばかり,バカリ,ばかり,"('助詞', '副助詞', '*', '*', '*', '*')",5,11,0
258,ボトル,ボトル,ボトル,"('名詞', '普通名詞', '一般', '*', '*', '*')",6,11,0
259,に,ニ,に,"('助詞', '格助詞', '*', '*', '*', '*')",6,11,1
260,別れ,ワカレ,別れ,"('名詞', '普通名詞', '一般', '*', '*', '*')",6,11,3
261,た,タ,た,"('助動詞', '*', '*', '*', '助動詞-タ', '終止形-一般')",6,11,0
262,日,ヒ,日,"('名詞', '普通名詞', '副詞可能', '*', '*', '*')",6,11,1
263,を,ヲ,を,"('助詞', '格助詞', '*', '*', '*', '*')",6,11,0
264,書い,カイ,書く,"('動詞', '一般', '*', '*', '五段-カ行', '連用形-イ音便')",6,11,1
265,て,テ,て,"('接続詞', '*', '*', '*', '*', '*')",6,11,1
266,そっと,ソット,そっと,"('副詞', '*', '*', '*', '*', '*')",7,11,0
267,涙,ナミダ,涙,"('名詞', '普通名詞', 'サ変可能', '*', '*', '*')",7,11,1
268,の,ノ,の,"('助詞', '格助詞', '*', '*', '*', '*')",7,11,0
269,小指,コユビ,小指,"('名詞', '普通名詞', '一般', '*', '*', '*')",7,11,0
270,かむ,カム,かむ,"('動詞', '一般', '*', '*', '五段-マ行', '終止形-一般')",7,11,0
271,あの,アノ,あの,"('連体詞', '*', '*', '*', '*', '*')",8,11,0
272,人,ヒト,人,"('名詞', '普通名詞', '一般', '*', '*', '*')",8,11,"0,2"
273,どう,ドウ,どう,"('副詞', '*', '*', '*', '*', '*')",8,11,1
274,し,シ,き,"('助動詞', '*', '*', '*', '文語助動詞-キ', '連体形-一般')",8,11,0
275,て,テ,て,"('接続詞', '*', '*', '*', '*', '*')",8,11,1
276,いる,イル,いる,"('動詞', '非自立可能', '*', '*', '上一段-ア行', '終止形-一般')",8,11,0
277,かしら,カシラ,かしら,"('助詞', '終助詞', '*', '*', '*', '*')",8,11,1
278,出船,シュッセン,出船,"('名詞', '普通名詞', 'サ変可能', '*', '*', '*')",9,11,0
279,の,ノ,の,"('助詞', '格助詞', '*', '*', '*', '*')",9,11,1
280,汽笛,キテキ,汽笛,"('名詞', '普通名詞', '一般', '*', '*', '*')",9,11,0
281,きき,キキ,きく,"('動詞', '一般', '*', '*', '五段-カ行', '連用形-一般')",9,11,"1,2"
282,ながら,ナガラ,ながら,"('助詞', '接続助詞', '*', '*', '*', '*')",9,11,"0"
